title,year,authors,note,edition,editors,publisher,ISBN
100 Select Classic Rocky Mountain National Park Climbs,1998,"Michael Stevens, Fred Knapp",out of print,,,,
1995 Boulder Sport Climber's Guide,1995,Mark Rolofson,out of print,,,,
2019 Boulder Canyon,2019,"Jason Haas, Chris Weidner",,,,,
A cheap way to fly: Free climbing guide to Northern Arizona ,1991,Tim Toula ,out of print,3,,Little Wanderer Publishing,
A Climber's Guide for Pinnacles National Monument,2022,Brad Young,out of print,1,,Self Published,978-0-9797421-0-1
A Climber's Guide To Courtright Reservoir & Vicinity,,Dwight Kroll,,,,K. Daniels Publishing,978-0-692-03319-7
A climber's guide to Killarney Park: George Lake,1982,Jean-Marie Filion,,,,,
A Climber's Guide to the Ophir Wall,1988,Allen Pattie,out of print,,,,
A Climber's Guide to the Rocky Mountain National Park Area,1971,Walter Fricke,out of print,,,,
A climber's guide to the sonora pass highway,2013,"Brad Young, Steve Dawson",,2,,Self-published,978-0-9797421-2-5
A climber's guide to the Teton Range,1975,Leigh Ortenburger ,,,,,
A Climber's Guide to the Teton Range,2023,"Leigh Ortenburger, Reynold Jackson",,4,,Mountaineers Books,978-1-68051-197-0
A Climber's Guide To The Teton Range -Third Edition,1996,Reynold Jackson,,3,,,
A Climber's Guide to Yosemite Valley,1982,Steve Roper,,,,,
A Climber’s Guide To Big Bear Lake And Holcomb Valley Pinnacles,2020,Brandon Copp,,1,,Wolverine Publishing,9781938393372
A climbers guide to the mid-South: Selected routes,1982,"Jim Detterline, Tony Reed",,,,Earthbound Enterprises,
A Complete Bouldering Guide to Joshua Tree National Park,2003,Robert Miramontes ,,,,K. Daniels Publishing,978-0972937306
A Granite Guide,2016,"Nathan Smith, Andrew Burr, Tyler Phillips",,,,Pull Publishing,
A guide to rock climbing in the Spokane area,1983,Robert D Loomis ,,,,,
A Rock Climber's Guide to Lolo Pass,2023,"Mack Moore, Harrison Schutt",,,,Self Published,
A Rock Climber's Guide To The Peter's Kill Climbing Area,2015,"Mike Rawdon, Marty Molitoris",,,,,
"A rock climber's guide: Cannon, Cathedral, Humphrey's and Whitehorse",1982,Paul Ross,,,,,
A rock climbing guide to Cathedral and White Horse ledges,1969,Joseph Cote,,,,,
A rock climbing guide to Cathedral and Whitehorse ledges ,1996,Jerry Handren,,,,,
A topo guide to Icicle Canyon rock climbs,1989,Viktor Kramer ,,,,,
Adirondack Park Bouldering,2016,Justin Sanford,,,,,
Adirondack Rock,2014,"Jim Lawyer, Jeremy Haas",,2,,,
Adirondack Rock: A Rock Climber's Guide,2008,"Jim Lawyer, Jeremy Haas ",,,,,
Alaska Climbing,2006,Joseph Puryear,,1,,Supertopo,
Alaska Rock Climbing Guide ,2009,Kelsey Gray,,,,,
Alaska Rock Climbing Guide,2012,Kelsey Gray,,2,,,
Alaska: A Climbing Guide,2002,"Colby Coombs, Michael Wood",,,,Mountaineers Books,
Alpine Select,,Kevin McLane,,,,High Col Press,
An Ice Climber's Guide To The Catskill Mountains,2004,Marty Molitoris,,2,,Alpine Endeavors,978-0974706719
AN ICE CLIMBERS GUIDE TO SOUTHERN NEW ENGLAND AND EASTERN NEW YORK,2020,Todd Swain,,,,K. Daniels Publishing,978-1-7344373-1-7
An Interim Rock Climbing Guide to Rocky Mountain National Park,1992,Richard Rossiter ,out of print,,,,
Arkansas Bouldering,,Cole Fennel,,,,Natural State Publishing,
Bay Area Bouldering,2007,Chris Summit,,1,Chris McNamara,Supertopo,978-0976523536
Bay Area Top Ropes,2010,"Chris Summit, Chris McNamara, Valentine Cullen",,2,,Supertopo,978-0976523581
Best Climbs Cascade Volcanoes,2012,Jeff Smoot,,,,Falcon Guides,9780762786077
Best Climbs Denver & Boulder,2019,Stewart M. Green,,2,,Falcon Guides,978-1493039319
Best Climbs Grand Teton National Park,2019,Richard Rossiter,,2,,Falcon Guides,9781493039371
Best Climbs Grand Teton National Park,2012,Richard Rossiter,,1,,Falcon Guides,978-0762773381
Best Climbs Joshua Tree National Park,2019,Bob Gaines,,2,,Falcon Guides,978-1493039395
Best Climbs Joshua Tree National Park,2011,Bob Gaines,,1,,Falcon Guides,9780762777105
Best Climbs Los Angeles,2014,Damon Corso,,,,Falcon Guides,9781493050581
Best Climbs Moab,2020,Stewart M. Green,,2,,Falcon Guides,978-1493039357
"Best Climbs Phoenix, Arizona",2017,Stewart M. Green,,,,Falcon Guides,978-1493022236
Best Climbs Red Rocks,2016,Jason D. Martin,,,,Falcon Guides,978-1493019632
Best Climbs Rocky Mountain National Park,2019,Stewart M. Green,,2,,Falcon Guides,978-1493039333
Best Climbs Santa Barbara And Ventura,2016,Damon Corso,,,,Falcon Guides,978-1493016549
Best Climbs Taquitz And Suicide,2013,Bob Gaines,,1,,Falcon Guides,978-0762780754
Best Climbs: Denver and Boulder,2011,Stewart M. Green,,1,,Falcon Guides,
Best Climbs: Grand Teton National Park,2012,Richard Rossiter,,,,Falcon Guides,
Best Climbs: Joshua Tree National Park,2011,Bob Gaines,,,,Falcon Guides,
Best Climbs: Moab,2011,Stewart M. Green,,,,Falcon Guides,9781493039364
Best Climbs: Tahquitz and Suicide Rocks,2012,Richard Rossiter,,,,Falcon Guides,
Best of Boulder Bouldering,2000,Bob Horan ,,,,,
Best of Boulder Climbs,2000,Richard Rossiter,,,,Falcon Guides,
"Best of Boulder Climbs, Second Edition",1992,Richard Rossiter,out of print ,,,,
"Best of Boulder Climbs, Third Edition",1996,Richard Rossiter,out of print,,,,
Best Outdoor Adventures Colorado Front Range,,Chris Meehan,,,,Falcon Guides,9781493045433
Big Chief Area Climbs,2005,Marek Hajek,,,Marty Lewis,Maximus Press,9789067611679
Birdsboro Climbing Guide,2017,Ted Coffelt,,1,,Self Published,
Bishop Area Bouldering,2022,"Dan Beall, Eric Bissell",digital edition,,,KAYA,
Bishop Area Rock Climbs,2008,"Peter Croft, Marty Lewis",,3,,Maximus Press,0-9676116-9-3
Bishop Bouldering,2007,Wills Young ,,,,,
Bishop Bouldering II,,Charlie Barrett,,2,,Flash Press,978-0578815596
Bishop Bouldering Select Guidebook,2016,"Airlie Anderson, McKenzie Long","digital edition, out of print",,,Wolverine Publishing,978-1-938393-21-1
Bite the bullet: A rock climbing guide to the Limestone of Rifle Mountain Park,1997,Dave Pegg ,,,,,
Black Canyon Rock Climbs,2001,Robbie Williams,,,,Sharp End Publishing,
Blue Lines 2: An Adirondack Ice Climber's Guide,2016,Don Mellor,,,,North Country Books,9780692803530
Boise Climbs: A Guide to Rock Climbing in the Boise Area ,2022,Sandy Epeldi ,,3,,Self Published,978-0974303819
Boise Climbs: A Guide to Rock Climbing in the Boise Area - Second Edition,1996,Sandy Epeldi ,,2,,Self Published,
Boston Rocks,2013,MIT Outing Club,,2,"Richord Doucette, Susan Ruff",Self Published,
Boulder Canyon Rock Climbs,2017,"Bob D’Antonio, Jeff Achey, Adam Brink, Peter Beal",,3,,Wolverine Publishing,9781938393280
Boulder Canyon sport & adventure climber's Guide,2006,Mark Rolofson,,,,,
Boulder Canyon Sport & Adventure Climber's Guide,2000,Mark Rolofson,out of print,,,,
Boulder Climbs North,1988,Richard Rossiter,out of print,,,,
Boulder Climbs North ,1988,Richard Rossiter,,,,,
Boulder Climbs South,1989,Richard Rossiter,,,,,
Boulder New Climbs '81,1981,Alec Sharp,out of print,,,,
Boulder Topographics: A Pictorial Guide to Boulder Climbs,1981,Richard Rossiter,out of print,,,,
Bouldering Colorado ,2008,Bob Horan,,1,,Falcon Guides,978-0762736386
Bouldering Guide to the Castle Rock Area,2002,Bruce Morris ,,1,,MorrComm Press,
Bouldering in the Wind River Range ,2013,"David Lloyd, Ben Sears",,,,Ground Up Publishing,
Bouldering Lake Tahoe - North Shore,,Dave Hatchett,,2,,Tahoe Bouldering Guides,
Bouldering Lake Tahoe - Outlying Areas Edition,,Dave Hatchett,,,,Tahoe Bouldering Guides,
Bouldering Lake Tahoe-East Shore,,Dave Hatchett,,2,,Tahoe Bouldering Guides,
Bouldering Lake Tahoe-South Shore,2021,"Dave Hatchett, Frank Lucido",,2,,Tahoe Bouldering Guides,
Bouldering Lake Tahoe: West Shore,,Dave Hatchett,,2,,Tahoe Bouldering Guides,
Boulders and cliffs: Climber's guide to lowland rock in the Skagit & Whatcom Counties,1971,Dallas M Kloke,,,,Signpost Publications,
Breaks Interstate Park Rock Climbs,2021,Bradly Mathisen,,,,,
Bugaboo Rock: A climbing guide,,"Randall Green, Joe Bensen",,2,,mountaineers Books,
Butte's Climbing Guide,2005,Dwight R. Bishop,,3,,First Ascent Press,978-1933009018
California Central Coast Climbs: San Luis Obispo,,Tom Slater,,1,,K Daniels Publishing,978-0972937320
California Road Trip: A Climber's Guide To Northern California,2009,"Tom Slater, Chris Summit",,1,,Maximus Press,9780982498804
"Cannon, a climber's guide",1973,Howard Peterson ,,1,,Three Owls Production,
Capitol Gorgeous: A CLIMBER'S GUIDE TO CAPITOL REEF NATIONAL PARK AND VICINITY,2012,Jared Spaulding,,,,Fixed Pin Publishing,
Carderock: Past and present : a climber's guide,1990,Selma I Hanel,there seems to be a 2008 version too?,1,,"Mountaineering Section, Potomac Appalachian Trail Club",9780915746408
Carolina Rocks,2015,Erica Lineberry,,,,Earthbound Sports, 978-0991580224
Cascade Alpine Guide 1: Columbia River to Stevens Pass,2000,Fred Beckey,,3,,Mountaineers Books,978-0-89886-577-6
Cascade Alpine Guide 3: Rainy Pass to Fraser River,2008,Fred Beckey,,3,,Mountaineers Books,978-1-59485-136-0
"Cascade Alpine Guide, Vol. 2; Stevens Pass to Rainy Pass",2003,Fred Beckey,,3,,Mountaineers Books,978-0-89886-838-8
Cascades Rock,,Blake Herrington,,,,Cascades Rock,978-0692552414
Castles in the sand: A climber's guide to Sedona and Oak Creek Canyon,2002,David Bloom ,,,,Sharp End Publishing,
Central Texas Limestone - A climber's guide,1992,"Jeff Jackson, Kevin Gallagher",,,,,
Chatt Trad,2014,Rob Robinson,,,,Rockery Press,978-0692288351
Cirque Of The Towers,2008,Steve Bechtel,,1,,First Ascent Press,978-1-93009-16-2
City Of Rocks And Castle Rocks,2017,Dave Bingham,,8,,Wolverine Publishing,978-1-938393-24-2
City of Rocks Idaho: A Climber's Guide,2004,Dave Bingham,,7,,Falcon Guides,978-0970096418
Classic Boulder Climbs,2001,"Fred Knapp, Mike Stevens",,,,Sharp End Publishing,
Classic Cascade Climbs,2021,"Jim Nelson, Tom Sjolseth, David Whitelaw",,,,Mountaineers Books,978-1680510461
Classic Front Range Trad Climbs,2015,"Brendan Leonard, Lee Smith",,,,Colorado Mountain Club Press,978-1-937052-13-3
"Classic Rock Climbs No. 01 Joshua Tree National Park, California",1997,Randy Vogel,,1,,Falcon Guides,978-1575400297
"Classic Rock Climbs No. 04 Garden of the Gods, Colorado",2000,Bob D'Antonio,,1,,Falcon Guides,978-1560446781
"Classic Rock Climbs No. 06 Hueco Tanks State Park, Texas",1996,John Sherman,,1,,Chockstone Press,978-1575400334
"Classic Rock Climbs No. 07 Devils Tower/Black Hills: Needles, Wyoming and South",1996,John Harlin,,,,Falcon Guides,
"Classic Rock Climbs No. 08 The Diamond of Longs Peak, Rock Mountain National Par",1997,Richard Rossiter,,1,,Falcon Guides,978-1575400266
"Classic Rock Climbs No. 17 Golden Cliffs, Colorado",1997,"Peter Hubbell, Deaun Schovajsa",,1,,Falcon Guides,978-1575400426
"Classic Rock Climbs No. 18 Castle Crags, California",1997,Laird Davis ,,,,Falcon Guides,
"Classic Rock Climbs No. 22: Sam's Throne, Arkansas",1999,"Clay Frisbie, George Meyers",,,,Falcon Guides,
"Classic Rock Climbs No. 23: Lyons Area, Colorado",1999,"Peter Hubbell, Julie Garrison",,1,,Falcon Guides,978-1575400488
"Classic Rock Climbs No. 26: McConnell's Mill State Park, Pennsylvania",1999,Bob Value ,,,,Falcon Guides,
Classic Rock Climbs No. 28: Red Rocks: Nevada,2001,Todd Swain,,,,Falcon Guides,978-1585920563
Clear Creek Canyon sport climber's guide,1999,Mark Rolofson,,2,,,
Climb California's Mountains,2003,Jay Anderson,,,,,
"Climb Pennsylvania: Rock, Ice, Bouldering and Indoor Walls",2007,Curt Harler,out of print,2,,Self Published,
Climber's Guide to American Fork/Rock Canyon ,1995,"Bret Ruckman, Stuart Ruckman",,1,,Falcon Guides,978-0934641883
Climber's Guide to Devil's Lake,2008,"Sven Olof Swartling, Pete Mayer",,,,,
Climber's Guide To Ellery Lake Bowl,2017,Bruce Morris,,2,,MorrCom Press,978-0-965023467
Climber's Guide To Frustration Creek And Surrounding Areas,2020,Louie Anderson,,1,,Self Published,9780976663089
Climber's Guide to Glacier National Park,1995,J. Gordon Edwards,,,,Louie Anderson Publisher,
Climber's Guide to Glacier National Park,1995,J. Gordon Edwards,,2,,Falcon Guides,978-0878421770
Climber's Guide to Pinnacles National Monument,1995,David Rubine ,,,,,
Climber's guide to Sewanee,2001,Martin Knoll,,,,,
Climber's Guide to Smith Rock,1992,Alan Watts,,,,,
Climber's guide to Tahquitz and Suicide Rocks,1974,Chuck Wilts ,,,,,
Climber's Guide to the Olympic Mountains ,1988,Olympic Mountain Rescue Council,,3,,Mountaineers Books,978-0898861549
CLIMBER'S GUIDE TO TOLLHOUSE ROCK,2011,"Dwight Kroll,Tom Slater",,1,,Self Published,978-1-4507-7833-6
Climber's Guide to Washington Rock,1987,Don Brooks,,,,Mountaineers Books,
Climber's Guide: Riverside Quarry,2012,Louie Anderson,,2,,Louie Anderson Publisher,978-0-9766630-0-3
"Climbers guide to Sabino Canyon and Mount Lemmon Highway Tucson, Arizona",1985,John Steiger,,,,,
Climbers Guide to the Great Falls of Potomac,1985,James Eakin ,,,,,
Climbers Guide to the Teton Range,1996,"Leigh Ortenburger, Reynold Jackson",,,,,
Climbing and Hiking in the Wind River Mountains,2013,Joe Kelsey ,,3,,Falcon Guides,978-0762780785
Climbing Boulder's Flatirons,2017,Jason Haas,,2,,Sharp End Publishing,
Climbing California's Fourteeners,1998,"Cameron Burns, Steven Porcella",,,,,
Climbing Colorado's Mountains,2015,Susan Joy Paul,,,,Falcon Guides,9781493014361
"Climbing Colorado's San Juans: A Comprehensive Guide To Hikes, Scrambles, & Technical Climbs",2022,"Bob Rosenbrough, Matt Payne",,,,Colorado Mountain Club Press,978-1-937052-77-5
Climbing in North America,1997,Chris Jones ,,,,,
Climbing in the Adirondacks: A Guide to Rock and Ice Routes in the Adirondack Park ,1996,Don Mellor ,,,,,
Climbing Mt. Whitney,2005,"Peter Croft, Wynne Benti",,2,,Spotted Dog Press,978-1-893343-14-6
Climbing Rock: Vertical Explorations Across North America,,Jesse Lynch,,,,,
Climbing Washington's Mountains,2021,Jeff Smoot,,,,Falcon Guides,1493056433
Cochise Stronghold: Rock Climbing On The West Side,2016,Tanya Bok,out of print,,,Trundlestone Productions,978-1618501028
Colorado bouldering 2,2003,Phillip Benningfield ,,,,Sharp End Publishing,978-1892540263
Colorado Bouldering: Front Range,2020,"Phillip Benningfield, Matt Samet",,,,Sharp End Publishing,
Colorado Bouldering: Mountains And Western Slope,2020,Phillip Benningfield,,,,Sharp End Publishing,9781892540997
"Colorado Front Range Bouldering Fort Collins, Vol. 1 ",1995,Bob Horan ,,,,,
Colorado Front Range Crags,1993,Peter Hubbell,out of print,,,,
Colorado Scrambles: Climbs Beyond the Beaten Path,2009,Dave Cooper,,2,,Colorado Mountain Club Press,978-0-9799663-3-0
Colorado's Fourteeners: From Hikes to Climbs,2011,Gerry Roach,,3,,,
Colorado's Indian Peaks Wilderness Area: Classic Hikes and Climbs,1989,Gerry Roach,out of print ,1,,,
"Colorado's Sangre de Cristo Range Mountains: Hikes, Scrambles, Snow and Rock Climbs",2020,Derek A. Wolfe,,,,Xanadu Mountain Press,978-1-734911-20-6
Colorado's Tenmile-Mosquito Range Mountains,2020,Derek A. Wolfe,,,,Xanadu Mountain Press,
Coopers Rock Bouldering Guide,2007,"Dan Brayack, Tim Keenan ",,1,,Falcon Guides,978-0762742813
Coordinate Companion: Climbing Joshua Tree,2004,Peter Marchica III,,,,,
Creek Freak: Indian Creek Climbs,2018,Karl Kelley,,,,Sharp End Publishing,978-1892540355
Darrington & Index: Rock climbing guide,1876,Fred W Beckey,,,,,
Denali's West Buttress,1997,Colby Coombs,,,,,
Denver Climbing Guide,,"Tod Anderson, Thomas Hanson",,,,Sharp End Publishing,
Desert Rock: A Climber's Guide to the Canyon Country of the American Southwest Desert,1988,Eric Bjornstad,,,,,
Desert Rock: Rock Climbs in the National Parks,1996,Eric Bjornstad,,1,,Falcon Guides,978-0934641920
Desert Summits,2006,Andy Zdon,,2,,Spotted Dog Press,978-1-893343-12-2
Desert Towers Select Climbs,2002,"Dougald MacDonald, Chris McNamara",digital download,,,Supertopo,
Devil's Head climbers guide,1989,Tod Anderson,,,,,
Devil's Head Climbing,2022,Tod Anderson,,2,,Sharp End Publishing,
Devil's Head Climbing,2018,Tod Anderson,,1,,Sharp End Publishing,
Devil's Lake Bouldering,2017,Ian Cotter-Brown,,,,K. Daniels Publishing,978-0-692-03318-0
Devil's Lake: A Climbing Guide,2016,Jay Knower,,,,Wolverine Publishing,9781938393259
Devils Tower National Monument: A Climber's Guide,1986,"Steve Gardiner, Dick Guilmette ",,,,Mountaineers Books,978-0898861204
Double down: A guide to the best of Vegas limestone & sandstone,2002,Rob Floyd ,,,,Sharp End Publishing,978-1892540232
Eastern Idaho Sweet Spots,2016,"Jerry Painter, Matt TeNgaio",,,,Ground Up Publishing,
Eastern Sierra Ice,2010,"Robert ""SP"" Parker",,2,,Self Published,
Eldorado -- a rock climber's guide,1980,Pat Ament,out of print,,,,
Eldorado Canyon: A Climbing Guide,2020,Steve Levin,,3,,Sharp End Publishing,
Eldorado: A Climber's Route Guide,1978,Pat Ament ,out of print,1,,March Press,
Empire Rising: RA & THE HALIDOME,,Mark Tarrant,out of print?,,,Fixed Pin Publishing,
Enchanted Rock: A Climber's Guide,2011,Sean O'Grady,,2,,Sharp End Publishing,
Exit 38 rock climbing Guide,2006,Garth Bruce ,,2,,Free Solo Publishing,978-0972370837
Fifty Classic Climbs of North America,1996,"Steve Roper, Allen Steck",,,,,
Flatiron Classics: A Guide to Easy Climbs & Trails in Boulder's Flatirons,1987,Gerry Roach,out of print,1,,,
Flatiron Classics: Easy Rock Climbs Above Boulder,2008,Gerry Roach ,,2,,Colorado Mountain Club Press,978-0-9799663-2-3
"For Turkeys Only: A Rock Climber's Guide to Turkey Rock, Turkey's Tail, Sheepnose and Related Crags",1984,Steven R. Cheney,out of print,,,,
FRESNO DOME ROCK CLIMBING GUIDE,2023,Grahm Doe,,1,,Louie Anderson Publisher,
Front Range Topropes,2008,Fred Knapp,,,,Sharp End Publishing,
Fun Climbs Colorado,2008,Sibylle Hechtel,,,,Sharp End Publishing,978-1892540515
Fun Climbs Red Rocks,2009,Jason D. Martin,,,,Sharp End Publishing,
Golden Climbing Guide,2020,"Jason Haas, Kevin Capps",,,,Fixed Pin Publishing, 978-0999280300
Golden State Bouldering,2022,"Kimbrough Moore, Shannon Joslin",,,,Edgewalker Entertainment,9798218007959
Grayson Highlands Bouldering Guide,2013,Aaron Parlier,,,,Brayackmedia Publishing,978-0-615-70568-2
Great Rock Hits of Hueco Tanks: Over 120 Climbing Routes,1992,Paul Piana,,,,,
Guide to Sport Crags in Southern California,1992,Troy Mayr ,,,,,
Guide To The Colorado Mountains,2000,"Randy Jacobs, Robert Ormes",,10,,Colorado Mountain Club Press,978-0-9671466-0-7
Gunks Bouldering,2018,"Andy Salo, Hillary Guzik",,,,Wolverine Publishing,9781938393310
Gunks Climbing,2021,"Andy Salo, Christian Fracchia,  Eric Ratkowski",,,,Wolverine Publishing,9781938393389
Gunnison Rock,2007,Leo Malloy,,,,Sharp End Publishing,978-1892540508
Hidden Valley Rock Climbs,,Gus Glitch,,,,Ground Up Publishing,9781618500960
High Alaska,1997,Jonathan Waterman,,,,,
High Country Climbing,,Matt Paden,out of print?,,,Ground Up Publishing,
High Country Climbing: Volume 1,,Matt Paden,,,,Ground Up Publishing,
High Over Boulder,1976,"Pat Ament, Cleveland McCarty",out of print,3,,,
"High Over Boulder, Fourth Edition",1984,"Pat Ament, Cleveland McCarty",out of print,,,,
"High Over Boulder: A Historical Guide to Rock Climbing Near Boulder, Colorado",1995,Pat Ament,,,,,
High Sierra Climbing,2013,"Chris McNamara, McKenzie Long",,2,,Supertopo,
"HIGH SIERRA CLIMBING, VOLUME 1",2022,"Roger Putnam, Vitaliy Musiyenko",,,,K. Daniels Publishing,
"HIGH SIERRA CLIMBING, Volume 2",2023,"Roger Putnam, Vitaliy Musiyenko",,,,K. Daniels Publishing,
High Sierra Climbing: California's Best High Country Climbs,2004,Chris McNamara,,,,,
Hikers and Climbers Guide to the Sandias,1993,Mike Hill,,,,,
HOLCOMB: SKY FOREST GOLD,,"Chris Miller, Chris Owen",,2,,,
Hooked On Ragged,1997,Ken Nichols,,,,,
Hooked on Ragged: Rock climbing at Ragged Mountain,1997,Ken Nichols,,,,,
Horse Pens 40,2017,Adam Henry,second edition?,,,Rockery Press,978-0692788868
Horseshoe Canyon Ranch Arkansas Rock Climbing,2013,Clay Frisbie,,,,Boston Mountain Press,978-0978940935
Hueco Tanks Climbing and Bouldering Guide,1995,John Sherman,,2,,Falcon Guides,978-0934641876
Hueco Tanks: North Mountain,2020,"Matt Wilder, Jason Kehl",,,,,
Hueco Tanks: Volume 1 North Mountain,2020,"Matt Wilder, Jason Kehl",,2,,Wolverine Publishing,978-1-938393-36-5
IBEX and Selected Climbs of Utah's West Desert,2001,James Garrett,,,,,
Idaho - A Climbing Guide,2000,Tom Lopez,,,,,
Idaho Rock: A Climbing Guide to the Selkirk Crest and Sandpoint Areas,1987,Randall Green ,,,,,
Idaho Underground,2019,Dave Bingham,,2,,Wolverine Publishing,9781938393358
"Idaho: A Climbing Guide. Climbs, Scrambles, And Hikes",2000,Tom Lopez,,,,Mountaineers Books,978-0-89886-608-7
Independence Pass Rock Climbing,2003,Tom Perkins,,,,,
Independence Pass Rock Climbing II,2006,Tom Perkins,,,,,
Indian heights: A climber's guide to Hueco Tanks,1985,James Crump,,,,,
Islands in the Sky,,"Dan McQuade, Randy Leavitt, Mick Ryan",out of print  ,,,Rock Fax,
Islands in the Sky: The guidebook to rockclimbing on Las Vegas and Great Basin Limestone,2001,Dan McQuade,,,,,
Jacks Canyon Sport Climbing,2009,Deidre Burton ,,,,Self Published,978-1438287676
Jackson Falls,2014,Yusuf Daneshyar,,,,Brayackmedia Publishing,9780990782100
Jemez Rock And Pecos Area,2006,J. Marc Beverly,,,,Sharp End Publishing,
Joshua Tree Bouldering,2016,Robert Miramontes,,2,,,
Joshua Tree Climbs,2015,Randy Vogel,,,,K. Daniels Publishing,978-7-60-920992-8
Joshua Tree Rock Climbing Guide,1985,Randy Vogel ,,,,,
Joshua Tree Rock Climbs,2017,Robert Miramontes,,3,,Wolverine Publishing,9781938393297
Joshua Tree Sport Climbs and Top Rope Sites,2018,Todd Gordon,,,,K. Daniels Publishing,978-0-578-10330-3
Kane Creek Invert Offwidth Bouldering,,Kaya Lindsay,more of a zine,,,Sharp End Publishing,
Keyhole Canyon of Southern Nevada,,James Lybarger,,,,,
Lake Tahoe Bouldering,2006,"Kevin Swift, Chris McNamara",,1,,Supertopo,
Lander Rock Climbs 2018,2018,"Steve Bechtel, Kyle Duba, Ben Sears",,,,Vertical Life,
Lander Rock Climbs 2023,2023,"Steve Bechtel, Kyle Duba, Ben Sears",,1,,Climb Strong,978-1-5323-7588-0
Lander Sport Climbs,2007,Steve Bechtel,,,,,
Las Vegas Limestone,2000,Roxanna Brock,,,,,
Leavenworth Bouldering,2015,Kelly H. Sheridan,Kelly H. Sheridan is a man from articles online,,,Sharp End Publishing,978-1892540959
Let's Rock: Washington,2021,Bruce MacLachlan,,,,Evil Weevil Publishing,
Limestone Bible,2015,"Misty Murphy, Bill Ohran",out of print,1,,Self published,
Little River Canyon,2016,Adam Henry,,,,Wolverine Publishing,9780692727195
Los Angeles County Bouldering,2017,"Matthew Dooley, Dimitrius Fritz, William Leventhal",,,,K. Daniels Publishing,978-0-692-03321-0
Lumpy Ridge and Estes Park Rock Climbs,1986,Scott Kimball,out of print,,,,
Mammoth Area Rock Climbs,2014,Marty Lewis ,,4,,Maximus Press,
MAMMOTH AREA ROCK CLIMBS,2014,Marty Lewis,,4,,,
Mammoth Bouldering,2019,Charlie Barrett,,2,,Flash Press,978-1-5323-7708-2
Maple Canyon Rock Climbs,2012,"Dave Pegg, Sibylle Hechtel, Josh Holmes",,1,,Wolverine Publishing,978-098261549-2
